Material,Engagement [mm],Fastener [Mx],Pullout Load [N],Assembly Torque [Nm],100% Torque [Nm]
Aluminum 2024-T4/T351,12.7,39,125171.99,634.6,976.3
Aluminum 2024-T4/T351,14.3,12,42022.77,65.6,100.9
Aluminum 2024-T4/T351,14.3,14,49132.8,89.4,137.6
Aluminum 2024-T4/T351,14.3,16,56869.59,118.3,182.0
Aluminum 2024-T4/T351,14.3,18,63349.31,148.2,228.1
Aluminum 2024-T4/T351,14.3,20,71086.1,184.8,284.3
Aluminum 2024-T4/T351,14.3,22,78823.33,225.4,346.8
Aluminum 2024-T4/T351,14.3,24,85302.6,266.1,409.5
Aluminum 2024-T4/T351,14.3,27,96908.01,340.2,523.3
Aluminum 2024-T4/T351,14.3,30,107259.9,418.3,643.6
Aluminum 2024-T4/T351,14.3,33,118865.31,509.9,784.5
Aluminum 2024-T4/T351,14.3,36,129213.2,604.7,930.3
Aluminum 2024-T4/T351,14.3,39,140818.6,714.0,1098.4
Aluminum 2024-T4/T351,14.3,42,151166.49,825.4,1269.8
Aluminum 2024-T4/T351,14.3,45,162771.9,952.2,1464.9
Aluminum 2024-T4/T351,15.9,14,54592.1,99.4,152.9
Aluminum 2024-T4/T351,15.9,16,63188.73,131.4,202.2
Aluminum 2024-T4/T351,15.9,18,70388.17,164.7,253.4
Aluminum 2024-T4/T351,15.9,20,78984.8,205.4,315.9
Aluminum 2024-T4/T351,15.9,22,87581.43,250.5,385.4
Aluminum 2024-T4/T351,15.9,24,94780.87,295.7,454.9
Aluminum 2024-T4/T351,15.9,27,107675.81,377.9,581.5
Aluminum 2024-T4/T351,15.9,30,119177.57,464.8,715.1
Aluminum 2024-T4/T351,15.9,33,132072.51,566.6,871.7
Aluminum 2024-T4/T351,15.9,36,143570.27,671.9,1033.7
Aluminum 2024-T4/T351,15.9,39,156465.21,793.3,1220.4
Aluminum 2024-T4/T351,15.9,42,167962.97,917.1,1410.9
Aluminum 2024-T4/T351,15.9,45,180857.91,1058.0,1627.7
Aluminum 2024-T4/T351,15.9,48,192355.67,1200.3,1846.6
Aluminum 2024-T4/T351,15.9,52,209548.48,1416.5,2179.3
Aluminum 2024-T4/T351,19.0,16,75826.56,157.7,242.6
Aluminum 2024-T4/T351,19.0,18,84465.89,197.7,304.1
Aluminum 2024-T4/T351,19.0,20,94781.76,246.4,379.1
Aluminum 2024-T4/T351,19.0,22,105097.62,300.6,462.4
Aluminum 2024-T4/T351,19.0,24,113736.95,354.9,545.9
Aluminum 2024-T4/T351,19.0,27,129210.97,453.5,697.7
Aluminum 2024-T4/T351,19.0,30,143013.35,557.7,858.1
Aluminum 2024-T4/T351,19.0,33,158486.93,679.9,1046.0
Aluminum 2024-T4/T351,19.0,36,172284.41,806.3,1240.4
Aluminum 2024-T4/T351,19.0,39,187757.99,951.9,1464.5
Aluminum 2024-T4/T351,19.0,42,201555.47,1100.5,1693.1
Aluminum 2024-T4/T351,19.0,45,217029.49,1269.6,1953.3
Aluminum 2024-T4/T351,19.0,48,230826.53,1440.4,2215.9
Aluminum 2024-T4/T351,19.0,52,251458.26,1699.9,2615.2
Aluminum 2024-T4/T351,19.0,56,270418.79,1968.6,3028.7
Aluminum 2024-T4/T351,19.0,60,291050.52,2270.2,3492.6
Aluminum 2024-T4/T351,19.0,64,310005.72,2579.3,3968.1
Aluminum 2024-T4/T351,19.0,68,330637.45,2922.8,4496.7
Aluminum 2024-T4/T351,22.2,18,98543.62,230.6,354.8
Aluminum 2024-T4/T351,22.2,20,110578.72,287.5,442.3
Aluminum 2024-T4/T351,22.2,22,122613.82,350.7,539.5
Aluminum 2024-T4/T351,22.2,24,132693.04,414.0,636.9
Aluminum 2024-T4/T351,22.2,27,150745.69,529.1,814.0
Aluminum 2024-T4/T351,22.2,30,166848.69,650.7,1001.1
Aluminum 2024-T4/T351,22.2,33,184901.34,793.2,1220.3
Aluminum 2024-T4/T351,22.2,36,200998.55,940.7,1447.2
Aluminum 2024-T4/T351,22.2,39,219051.21,1110.6,1708.6
Aluminum 2024-T4/T351,22.2,42,235147.98,1283.9,1975.2
Aluminum 2024-T4/T351,22.2,45,253200.63,1481.2,2278.8
Aluminum 2024-T4/T351,22.2,48,269297.84,1680.4,2585.3
Aluminum 2024-T4/T351,22.2,52,293368.04,1983.2,3051.0
Aluminum 2024-T4/T351,22.2,56,315488.59,2296.8,3533.5
Aluminum 2024-T4/T351,22.2,60,339558.79,2648.6,4074.7
Aluminum 2024-T4/T351,22.2,64,361673.56,3009.1,4629.4
Aluminum 2024-T4/T351,22.2,68,385743.76,3410.0,5246.1
Aluminum 2024-T4/T351,25.4,20,126375.68,328.6,505.5
Aluminum 2024-T4/T351,25.4,22,140130.02,400.8,616.6
Aluminum 2024-T4/T351,25.4,24,151649.57,473.1,727.9
Aluminum 2024-T4/T351,25.4,27,172280.85,604.7,930.3
Aluminum 2024-T4/T351,25.4,30,190684.47,743.7,1144.1
Aluminum 2024-T4/T351,25.4,33,211316.2,906.5,1394.7
Aluminum 2024-T4/T351,25.4,36,229712.7,1075.1,1653.9
Aluminum 2024-T4/T351,25.4,39,250344.43,1269.2,1952.7
Aluminum 2024-T4/T351,25.4,42,268740.93,1467.3,2257.4
Aluminum 2024-T4/T351,25.4,45,289372.21,1692.8,2604.4
Aluminum 2024-T4/T351,25.4,48,307768.71,1920.5,2954.6
Aluminum 2024-T4/T351,25.4,52,335277.83,2266.5,3486.9
Aluminum 2024-T4/T351,25.4,56,360558.39,2624.9,4038.3
Aluminum 2024-T4/T351,25.4,60,388067.07,3026.9,4656.8
Aluminum 2024-T4/T351,25.4,64,413340.96,3439.0,5290.8
Aluminum 2024-T4/T351,25.4,68,440849.63,3897.1,5995.6
Aluminum 2024-T4/T351,28.6,22,157646.21,450.9,693.6
Aluminum 2024-T4/T351,28.6,24,170605.65,532.3,818.9
Aluminum 2024-T4/T351,28.6,27,193816.02,680.3,1046.6
Aluminum 2024-T4/T351,28.6,30,214519.81,836.6,1287.1
Aluminum 2024-T4/T351,28.6,33,237730.61,1019.9,1569.0
Aluminum 2024-T4/T351,28.6,36,258426.84,1209.4,1860.7
Aluminum 2024-T4/T351,28.6,39,281637.2,1427.9,2196.8
Aluminum 2024-T4/T351,28.6,42,302333.43,1650.7,2539.6
Aluminum 2024-T4/T351,28.6,45,325543.79,1904.4,2929.9
Aluminum 2024-T4/T351,28.6,48,346240.02,2160.5,3323.9
Aluminum 2024-T4/T351,28.6,52,377187.61,2549.8,3922.8
Aluminum 2024-T4/T351,28.6,56,405628.19,2953.0,4543.0
Aluminum 2024-T4/T351,28.6,60,436575.78,3405.3,5238.9
Aluminum 2024-T4/T351,28.6,64,465008.8,3868.9,5952.1
Aluminum 2024-T4/T351,28.6,68,495955.95,4384.3,6745.0
Aluminum 2024-T4/T351,31.8,27,215351.18,755.9,1162.9
Aluminum 2024-T4/T351,31.8,30,238355.59,929.6,1430.1
Aluminum 2024-T4/T351,31.8,33,264145.03,1133.2,1743.4
Aluminum 2024-T4/T351,31.8,36,287140.54,1343.8,2067.4
Aluminum 2024-T4/T351,31.8,39,312930.42,1586.6,2440.9
Aluminum 2024-T4/T351,31.8,42,335925.93,1834.2,2821.8
Aluminum 2024-T4/T351,31.8,45,361715.37,2116.0,3255.4
Aluminum 2024-T4/T351,31.8,48,384711.33,2400.6,3693.2
Aluminum 2024-T4/T351,31.8,52,419097.4,2833.1,4358.6
Aluminum 2024-T4/T351,31.8,56,450697.99,3281.1,5047.8
Aluminum 2024-T4/T351,31.8,60,485084.06,3783.7,5821.0
Aluminum 2024-T4/T351,31.8,64,516676.2,4298.7,6613.5
Aluminum 2024-T4/T351,31.8,68,551062.26,4871.4,7494.5
Aluminum 2024-T4/T351,34.9,27,236886.34,831.5,1279.2
Aluminum 2024-T4/T351,34.9,30,262190.92,1022.5,1573.1
Aluminum 2024-T4/T351,34.9,33,290559.44,1246.5,1917.7
Aluminum 2024-T4/T351,34.9,36,315854.68,1478.2,2274.2
Aluminum 2024-T4/T351,34.9,39,344223.2,1745.2,2684.9
Aluminum 2024-T4/T351,34.9,42,369518.44,2017.6,3104.0
Aluminum 2024-T4/T351,34.9,45,397886.95,2327.6,3581.0
Aluminum 2024-T4/T351,34.9,48,423182.2,2640.7,4062.6
Aluminum 2024-T4/T351,34.9,52,461006.74,3116.4,4794.5
Aluminum 2024-T4/T351,34.9,56,495767.79,3609.2,5552.6
Aluminum 2024-T4/T351,34.9,60,533592.33,4162.0,6403.1
Aluminum 2024-T4/T351,34.9,64,568344.04,4728.6,7274.8
Aluminum 2024-T4/T351,34.9,68,606168.58,5358.5,8243.9
Aluminum 2024-T4/T351,38.1,30,286026.7,1115.5,1716.2
Aluminum 2024-T4/T351,38.1,33,316973.85,1359.8,2092.0
Aluminum 2024-T4/T351,38.1,36,344568.82,1612.6,2480.9
Aluminum 2024-T4/T351,38.1,39,375516.42,1903.9,2929.0
Aluminum 2024-T4/T351,38.1,42,403110.94,2201.0,3386.1
Aluminum 2024-T4/T351,38.1,45,434058.54,2539.2,3906.5
Aluminum 2024-T4/T351,38.1,48,461653.51,2880.7,4431.9
Aluminum 2024-T4/T351,38.1,52,502916.52,3399.7,5230.3
Aluminum 2024-T4/T351,38.1,56,540837.59,3937.3,6057.4
Aluminum 2024-T4/T351,38.1,60,582101.04,4540.4,6985.2
Aluminum 2024-T4/T351,38.1,64,620011.44,5158.5,7936.2
Aluminum 2024-T4/T351,38.1,68,661274.89,5845.7,8993.3
Aluminum 2024-T4/T351,44.4,36,401997.11,1881.3,2894.4
Aluminum 2024-T4/T351,44.4,39,438102.41,2221.2,3417.2
Aluminum 2024-T4/T351,44.4,42,470296.4,2567.8,3950.5
Aluminum 2024-T4/T351,44.4,45,506401.7,2962.5,4557.6
Aluminum 2024-T4/T351,44.4,48,538595.68,3360.8,5170.5
Aluminum 2024-T4/T351,44.4,52,586736.09,3966.3,6102.1
Aluminum 2024-T4/T351,44.4,56,630977.18,4593.5,7067.0
Aluminum 2024-T4/T351,44.4,60,679117.59,5297.1,8149.4
Aluminum 2024-T4/T351,44.4,64,723346.67,6018.2,9258.8
Aluminum 2024-T4/T351,44.4,68,771487.08,6820.0,10492.2
Aluminum 2024-T4/T351,50.8,39,500688.41,2538.5,3905.4
Aluminum 2024-T4/T351,50.8,42,537481.41,2934.6,4514.9
Aluminum 2024-T4/T351,50.8,45,578744.86,3385.7,5208.7
Aluminum 2024-T4/T351,50.8,48,615537.86,3841.0,5909.2
Aluminum 2024-T4/T351,50.8,52,670555.66,4533.0,6973.8
Aluminum 2024-T4/T351,50.8,56,721116.78,5249.7,8076.5
Aluminum 2024-T4/T351,50.8,60,776134.58,6053.9,9313.6
Aluminum 2024-T4/T351,50.8,64,826681.91,6878.0,10581.5
Aluminum 2024-T4/T351,50.8,68,881699.71,7794.2,11991.1
Aluminum 7075-T6/T651,1.6,1.8,822.03,0.2,0.3
Aluminum 7075-T6/T651,1.6,2,909.66,0.2,0.4
Aluminum 7075-T6/T651,1.6,2.2,997.29,0.3,0.4
Aluminum 7075-T6/T651,1.6,2.5,1153.87,0.4,0.6
Aluminum 7075-T6/T651,1.6,3,1398.08,0.5,0.8
Aluminum 7075-T6/T651,3.2,3.5,3251.2,1.5,2.3
Aluminum 7075-T6/T651,3.2,4,3705.81,1.9,3.0
Aluminum 7075-T6/T651,3.2,4.5,4195.12,2.5,3.8
Aluminum 7075-T6/T651,3.2,5,4683.08,3.0,4.7
Aluminum 7075-T6/T651,3.2,6,5592.75,4.4,6.7
Aluminum 7075-T6/T651,3.2,7,6638.08,6.0,9.3
Aluminum 7075-T6/T651,4.8,5,7024.63,4.6,7.0
Aluminum 7075-T6/T651,4.8,6,8388.9,6.5,10.1
Aluminum 7075-T6/T651,4.8,7,9956.89,9.1,13.9
Aluminum 7075-T6/T651,4.8,8,11270.9,11.7,18.0
Aluminum 7075-T6/T651,4.8,9,12838.89,15.0,23.1
Aluminum 7075-T6/T651,4.8,10,14152.9,18.4,28.3
Aluminum 7075-T6/T651,4.8,11,15720.9,22.5,34.6
Aluminum 7075-T6/T651,6.3,7,13275.71,12.1,18.6
Aluminum 7075-T6/T651,6.3,8,15027.86,15.6,24.0
Aluminum 7075-T6/T651,6.3,9,17118.53,20.0,30.8
Aluminum 7075-T6/T651,6.3,10,18870.23,24.5,37.7
Aluminum 7075-T6/T651,6.3,11,20960.9,30.0,46.1
Aluminum 7075-T6/T651,6.3,12,22710.83,35.4,54.5
Aluminum 7075-T6/T651,6.3,14,26553.64,48.3,74.4
Aluminum 7075-T6/T651,6.3,16,30734.97,63.9,98.4
Aluminum 7075-T6/T651,7.9,8,18784.83,19.5,30.1
Aluminum 7075-T6/T651,7.9,9,21398.16,25.0,38.5
Aluminum 7075-T6/T651,7.9,10,23588.02,30.7,47.2
Aluminum 7075-T6/T651,7.9,11,26201.34,37.5,57.6
Aluminum 7075-T6/T651,7.9,12,28388.53,44.3,68.1
Aluminum 7075-T6/T651,7.9,14,33192.16,60.4,92.9
Aluminum 7075-T6/T651,7.9,16,38418.82,79.9,122.9
Aluminum 7075-T6/T651,7.9,18,42795.87,100.1,154.1
Aluminum 7075-T6/T651,7.9,20,48022.53,124.9,192.1
Aluminum 7075-T6/T651,7.9,22,53249.63,152.3,234.3
Aluminum 7075-T6/T651,9.5,10,28305.8,36.8,56.6
Aluminum 7075-T6/T651,9.5,11,31441.79,45.0,69.2
Aluminum 7075-T6/T651,9.5,12,34066.24,53.1,81.8
Aluminum 7075-T6/T651,9.5,14,39830.24,72.5,111.5
Aluminum 7075-T6/T651,9.5,16,46102.68,95.9,147.5
Aluminum 7075-T6/T651,9.5,18,51355.13,120.2,184.9
Aluminum 7075-T6/T651,9.5,20,57627.12,149.8,230.5
Aluminum 7075-T6/T651,9.5,22,63899.11,182.8,281.2
Aluminum 7075-T6/T651,9.5,24,69152.01,215.8,331.9
Aluminum 7075-T6/T651,9.5,27,78559.99,275.8,424.2
Aluminum 7075-T6/T651,11.1,11,36681.79,52.5,80.7
Aluminum 7075-T6/T651,11.1,12,39744.39,62.0,95.4
Aluminum 7075-T6/T651,11.1,14,46468.76,84.6,130.1
Aluminum 7075-T6/T651,11.1,16,53786.08,111.9,172.1
Aluminum 7075-T6/T651,11.1,18,59914.4,140.2,215.7
Aluminum 7075-T6/T651,11.1,20,67231.72,174.8,268.9
Aluminum 7075-T6/T651,11.1,22,74549.04,213.2,328.0
Aluminum 7075-T6/T651,11.1,24,80677.35,251.7,387.3
Aluminum 7075-T6/T651,11.1,27,91653.33,321.7,494.9
Aluminum 7075-T6/T651,11.1,30,101444.3,395.6,608.7
Aluminum 7075-T6/T651,11.1,33,112420.28,482.3,742.0
Aluminum 7075-T6/T651,12.7,14,53107.29,96.7,148.7
Aluminum 7075-T6/T651,12.7,16,61469.94,127.9,196.7
Aluminum 7075-T6/T651,12.7,18,68473.66,160.2,246.5
Aluminum 7075-T6/T651,12.7,20,76836.31,199.8,307.3
Aluminum 7075-T6/T651,12.7,22,85198.96,243.7,374.9
Aluminum 7075-T6/T651,12.7,24,92202.68,287.7,442.6
Aluminum 7075-T6/T651,12.7,27,104746.66,367.7,565.6
Aluminum 7075-T6/T651,12.7,30,115936.15,452.2,695.6
Aluminum 7075-T6/T651,12.7,33,128480.13,551.2,848.0
Aluminum 7075-T6/T651,12.7,36,139665.18,653.6,1005.6
Aluminum 7075-T6/T651,12.7,39,152209.15,771.7,1187.2
Aluminum 7075-T6/T651,14.3,14,59745.81,108.7,167.3
Aluminum 7075-T6/T651,14.3,16,69153.79,143.8,221.3
Aluminum 7075-T6/T651,14.3,18,77032.92,180.3,277.3
Aluminum 7075-T6/T651,14.3,20,86440.9,224.7,345.8
Aluminum 7075-T6/T651,14.3,22,95848.89,274.1,421.7
Aluminum 7075-T6/T651,14.3,24,103728.02,323.6,497.9
Aluminum 7075-T6/T651,14.3,27,117839.99,413.6,636.3
Aluminum 7075-T6/T651,14.3,30,130428.01,508.7,782.6
Aluminum 7075-T6/T651,14.3,33,144539.98,620.1,954.0
Aluminum 7075-T6/T651,14.3,36,157123.55,735.3,1131.3
Aluminum 7075-T6/T651,14.3,39,171235.52,868.2,1335.6
Aluminum 7075-T6/T651,14.3,42,183818.64,1003.7,1544.1
Aluminum 7075-T6/T651,14.3,45,197930.62,1157.9,1781.4
Aluminum 7075-T6/T651,15.9,16,76837.64,159.8,245.9
Aluminum 7075-T6/T651,15.9,18,85592.18,200.3,308.1
Aluminum 7075-T6/T651,15.9,20,96045.5,249.7,384.2
Aluminum 7075-T6/T651,15.9,22,106498.81,304.6,468.6
Aluminum 7075-T6/T651,15.9,24,115253.35,359.6,553.2
Aluminum 7075-T6/T651,15.9,27,130933.77,459.6,707.0
Aluminum 7075-T6/T651,15.9,30,144920.3,565.2,869.5
Aluminum 7075-T6/T651,15.9,33,160600.28,689.0,1060.0
Aluminum 7075-T6/T651,15.9,36,174581.47,817.0,1257.0
Aluminum 7075-T6/T651,15.9,39,190261.44,964.6,1484.0
Aluminum 7075-T6/T651,15.9,42,204243.09,1115.2,1715.6
Aluminum 7075-T6/T651,15.9,45,219923.06,1286.5,1979.3
Aluminum 7075-T6/T651,15.9,48,233904.25,1459.6,2245.5
Aluminum 7075-T6/T651,15.9,52,254810.88,1722.5,2650.0
Aluminum 7075-T6/T651,19.0,20,115254.69,299.7,461.0
Aluminum 7075-T6/T651,19.0,22,127798.66,365.5,562.3
Aluminum 7075-T6/T651,19.0,24,138304.02,431.5,663.9
Aluminum 7075-T6/T651,19.0,27,157120.43,551.5,848.4
Aluminum 7075-T6/T651,19.0,30,173904.01,678.2,1043.4
Aluminum 7075-T6/T651,19.0,33,192720.42,826.8,1271.9
Aluminum 7075-T6/T651,19.0,36,209497.77,980.4,1508.4
Aluminum 7075-T6/T651,19.0,39,228313.73,1157.6,1780.8
Aluminum 7075-T6/T651,19.0,42,245091.52,1338.2,2058.8
Aluminum 7075-T6/T651,19.0,45,263907.49,1543.9,2375.2
Aluminum 7075-T6/T651,19.0,48,280685.28,1751.5,2694.6
Aluminum 7075-T6/T651,19.0,52,305773.24,2067.0,3180.0
Aluminum 7075-T6/T651,19.0,56,328829.25,2393.9,3682.9
Aluminum 7075-T6/T651,19.0,60,353917.2,2760.6,4247.0
Aluminum 7075-T6/T651,19.0,64,376966.98,3136.4,4825.2
Aluminum 7075-T6/T651,19.0,68,402054.94,3554.2,5468.0
Aluminum 7075-T6/T651,22.2,22,149098.52,426.4,656.0
Aluminum 7075-T6/T651,22.2,24,161355.14,503.4,774.5
Aluminum 7075-T6/T651,22.2,27,183307.1,643.4,989.9
Aluminum 7075-T6/T651,22.2,30,202888.16,791.3,1217.3
Aluminum 7075-T6/T651,22.2,33,224840.12,964.6,1483.9
Aluminum 7075-T6/T651,22.2,36,244414.06,1143.9,1759.8
Aluminum 7075-T6/T651,22.2,39,266366.47,1350.5,2077.7
Aluminum 7075-T6/T651,22.2,42,285939.96,1561.2,2401.9
Aluminum 7075-T6/T651,22.2,45,307892.37,1801.2,2771.0
Aluminum 7075-T6/T651,22.2,48,327466.31,2043.4,3143.7
Aluminum 7075-T6/T651,22.2,52,356735.59,2411.5,3710.0
Aluminum 7075-T6/T651,22.2,56,383633.97,2792.9,4296.7
Aluminum 7075-T6/T651,22.2,60,412903.7,3220.7,4954.8
Aluminum 7075-T6/T651,22.2,64,439794.96,3659.1,5629.4
Aluminum 7075-T6/T651,22.2,68,469064.24,4146.5,6379.3
Aluminum 7075-T6/T651,25.4,24,184405.81,575.3,885.1
Aluminum 7075-T6/T651,25.4,27,209493.76,735.3,1131.3
Aluminum 7075-T6/T651,25.4,30,231872.31,904.3,1391.2
Aluminum 7075-T6/T651,25.4,33,256960.26,1102.4,1695.9
Aluminum 7075-T6/T651,25.4,36,279330.36,1307.3,2011.2
Aluminum 7075-T6/T651,25.4,39,304418.75,1543.4,2374.5
Aluminum 7075-T6/T651,25.4,42,326788.85,1784.3,2745.0
Aluminum 7075-T6/T651,25.4,45,351876.8,2058.5,3166.9
Aluminum 7075-T6/T651,25.4,48,374246.9,2335.3,3592.8
Aluminum 7075-T6/T651,25.4,52,407697.95,2756.0,4240.1
Aluminum 7075-T6/T651,25.4,56,438439.14,3191.8,4910.5
Aluminum 7075-T6/T651,25.4,60,471889.75,3680.7,5662.7
Aluminum 7075-T6/T651,25.4,64,502622.49,4181.8,6433.6
Aluminum 7075-T6/T651,25.4,68,536073.54,4738.9,7290.6
Aluminum 7075-T6/T651,28.6,27,235680.43,827.2,1272.7
Aluminum 7075-T6/T651,28.6,30,260856.46,1017.3,1565.1
Aluminum 7075-T6/T651,28.6,33,289080.41,1240.2,1907.9
Aluminum 7075-T6/T651,28.6,36,314246.65,1470.7,2262.6
Aluminum 7075-T6/T651,28.6,39,342471.04,1736.3,2671.3
Aluminum 7075-T6/T651,28.6,42,367637.29,2007.3,3088.2
Aluminum 7075-T6/T651,28.6,45,395861.24,2315.8,3562.8
Aluminum 7075-T6/T651,28.6,48,421027.92,2627.2,4041.9
Aluminum 7075-T6/T651,28.6,52,458659.86,3100.5,4770.1
Aluminum 7075-T6/T651,28.6,56,493243.87,3590.8,5524.3
Aluminum 7075-T6/T651,28.6,60,530875.8,4140.8,6370.5
Aluminum 7075-T6/T651,28.6,64,565450.47,4704.6,7237.8
Aluminum 7075-T6/T651,28.6,68,603082.4,5331.3,8201.9
Aluminum 7075-T6/T651,31.8,30,289840.16,1130.4,1739.0
Aluminum 7075-T6/T651,31.8,33,321200.55,1378.0,2119.9
Aluminum 7075-T6/T651,31.8,36,349162.94,1634.1,2514.0
Aluminum 7075-T6/T651,31.8,39,380523.33,1929.2,2968.1
Aluminum 7075-T6/T651,31.8,42,408486.17,2230.3,3431.3
Aluminum 7075-T6/T651,31.8,45,439846.11,2573.1,3958.6
Aluminum 7075-T6/T651,31.8,48,467808.95,2919.1,4491.0
Aluminum 7075-T6/T651,31.8,52,509622.21,3445.0,5300.1
Aluminum 7075-T6/T651,31.8,56,548048.59,3989.8,6138.1
Aluminum 7075-T6/T651,31.8,60,589862.3,4600.9,7078.4
Aluminum 7075-T6/T651,31.8,64,628278.45,5227.3,8042.0
Aluminum 7075-T6/T651,31.8,68,670091.71,5923.6,9113.3
Aluminum 7075-T6/T651,34.9,33,353320.25,1515.7,2331.9
Aluminum 7075-T6/T651,34.9,36,384079.24,1797.5,2765.4
Aluminum 7075-T6/T651,34.9,39,418575.62,2122.2,3264.9
Aluminum 7075-T6/T651,34.9,42,449334.61,2453.4,3774.4
Aluminum 7075-T6/T651,34.9,45,483830.55,2830.4,4354.5
Aluminum 7075-T6/T651,34.9,48,514589.54,3211.0,4940.1
Aluminum 7075-T6/T651,34.9,52,560584.56,3789.6,5830.1
Aluminum 7075-T6/T651,34.9,56,602853.77,4388.8,6752.0
Aluminum 7075-T6/T651,34.9,60,648848.35,5061.0,7786.2
Aluminum 7075-T6/T651,34.9,64,691105.98,5750.0,8846.2
Aluminum 7075-T6/T651,34.9,68,737101.01,6516.0,10024.6
Aluminum 7075-T6/T651,38.1,36,418995.98,1960.9,3016.8
Aluminum 7075-T6/T651,38.1,39,456627.91,2315.1,3561.7
Aluminum 7075-T6/T651,38.1,42,490183.05,2676.4,4117.5
Aluminum 7075-T6/T651,38.1,45,527815.43,3087.7,4750.3
Aluminum 7075-T6/T651,38.1,48,561370.57,3503.0,5389.2
Aluminum 7075-T6/T651,38.1,52,611546.47,4134.1,6360.1
Aluminum 7075-T6/T651,38.1,56,657658.49,4787.8,7365.8
Aluminum 7075-T6/T651,38.1,60,707834.85,5521.1,8494.0
Aluminum 7075-T6/T651,38.1,64,753933.96,6272.7,9650.4
Aluminum 7075-T6/T651,38.1,68,804109.87,7108.3,10935.9
Aluminum 7075-T6/T651,44.4,42,571880.37,3122.5,4803.8
Aluminum 7075-T6/T651,44.4,45,615784.29,3602.3,5542.1
Aluminum 7075-T6/T651,44.4,48,654932.18,4086.8,6287.4
Aluminum 7075-T6/T651,44.4,52,713471.18,4823.1,7420.1
Aluminum 7075-T6/T651,44.4,56,767268.39,5585.7,8593.4
Aluminum 7075-T6/T651,44.4,60,825806.95,6441.3,9909.7
Aluminum 7075-T6/T651,44.4,64,879589.47,7318.2,11258.8
Aluminum 7075-T6/T651,44.4,68,938128.48,8293.1,12758.6
Aluminum 7075-T6/T651,50.8,48,748494.24,4670.6,7185.6
Aluminum 7075-T6/T651,50.8,52,815395.45,5512.1,8480.1
Aluminum 7075-T6/T651,50.8,56,876877.84,6383.7,9821.0
Aluminum 7075-T6/T651,50.8,60,943779.5,7361.5,11325.4
Aluminum 7075-T6/T651,50.8,64,1005245.43,8363.6,12867.2
Aluminum 7075-T6/T651,50.8,68,1072146.64,9477.8,14581.2
